436 375 690 
695 372 454 
771 110 91 
995 58 456 
541 254 540 
727 515 571 
904 9 618 
598 796 675 
927 385 288 
225 452 393 
58 887 119 
99 582 491 
904 704 952 
995 50 361 
802 942 614 
341 668 481 
911 923 489 
880 872 285 
554 799 21 
193 23 473 
938 433 359 
56 531 292 
546 435 347 
850 429 748 
210 230 689 
176 922 709 
656 184 983 
496 64 855 
780 969 653 
801 514 27 
625 451 459 
335 506 990 
979 404 776 
677 605 556 
425 166 137 
113 341 58 
173 348 593 
156 844 8 
10 975 329 
14 127 842 
40 751 644 
499 438 501 
840 416 904 
967 92 860 
522 516 26 
658 981 718 
67 505 418 
659 660 261 
667 21 587 
995 34 66 
188 74 816 
831 924 605 
331 115 20 
587 81 464 
446 602 331 
823 611 663 
541 29 168 
958 687 179 
570 705 552 
508 51 585 
573 590 10 
741 772 285 
345 103 399 
717 41 479 
180 838 432 
510 661 42 
173 201 70 
692 510 109 
222 431 165 
773 938 216 
710 511 805 
71 603 577 
356 947 31 
106 663 423 
585 842 260 
368 704 920 
410 228 472 
831 919 333 
939 492 763 
104 265 53 
671 974 915 
827 396 517 
755 751 463 
785 209 478 
207 145 319 
819 512 374 
738 921 601 
562 104 871 
894 42 715 
9 497 979 
61 167 304 
975 346 699 
843 100 802 
305 885 10 
782 443 506 
453 613 17 
178 351 290 
779 264 393 
1 509 786 
715 517 283 
45 929 801 
700 255 146 
751 97 598 
552 754 834 
913 887 276 
418 339 241 
786 517 943 
75 647 206 
467 999 714 
605 66 583 
239 110 863 
39 162 118 
537 912 566 
134 463 671 
967 727 558 
594 496 896 
834 281 764 
776 708 762 
333 174 761 
399 130 826 
981 368 287 
843 759 448 
312 295 711 
230 780 525 
900 98 251 
457 691 98 
705 877 379 
468 4 438 
230 337 963 
342 735 93 
519 67 460 
157 261 218 
957 925 864 
667 154 643 
192 405 740 
442 862 783 
892 918 659 
622 385 14 
59 966 350 
21 659 436 
113 177 502 
573 334 763 
142 642 687 
6 308 192 
648 499 596 
740 293 809 
522 184 726 
532 805 463 
545 863 780 
247 235 439 
682 348 967 
536 272 652 
650 413 293 
688 418 601 
879 418 451 
474 157 743 
635 30 278 
360 561 434 
822 457 648 
602 55 883 
392 737 582 
358 624 853 
362 273 265 
654 960 35 
606 838 804 
57 663 960 
151 297 341 
429 9 253 
862 830 709 
862 783 764 
744 174 852 
325 884 475 
177 245 99 
793 898 58 
179 856 247 
982 264 909 
293 414 558 
633 194 918 
237 408 747 
298 269 882 
413 12 407 
264 336 290 
90 864 534 
188 8 784 
245 187 991 
843 520 254 
751 165 667 
660 797 861 
577 386 268 
676 683 888 
909 95 899 
315 358 586 
605 799 801 
490 338 808 
625 934 346 
615 776 218 
868 878 382 
887 538 530 
747 466 915 
366 493 597 
605 401 691 
503 716 400 
440 672 198 
240 161 887 
399 786 820 
97 400 595 
314 620 473 
695 506 362 
224 604 179 
139 321 672 
87 925 424 
778 779 139 
177 218 810 
727 457 971 
613 207 108 
785 303 859 
379 616 830 
203 662 335 
916 886 290 
95 376 610 
118 462 886 
541 591 664 
680 768 881 
841 846 689 
163 810 896 
622 594 550 
481 325 166 
310 879 827 
997 795 64 
286 241 791 
248 358 253 
133 250 843 
797 929 962 
29 122 159 
70 284 969 
965 258 914 
866 738 590 
31 399 469 
210 395 615 
273 33 855 
64 280 564 
668 412 813 
862 560 94 
176 941 215 
334 10 850 
302 326 107 
568 191 196 
157 574 595 
977 783 341 
591 407 373 
445 822 4 
360 841 416 
173 703 327 
266 878 619 
832 563 628 
681 217 305 
140 784 496 
335 292 421 
281 269 203 
622 859 961 
346 656 783 
350 15 623 
117 187 677 
795 452 906 
414 283 469 
393 316 37 
698 807 820 
545 141 111 
965 774 379 
519 747 590 
479 92 245 
261 793 259 
236 909 798 
264 56 601 
170 469 236 
990 213 551 
26 910 357 
197 806 849 
307 770 974 
38 288 720 
627 119 164 
223 731 956 
833 966 217 
630 230 272 
231 751 740 
466 740 952 
368 765 214 
76 961 19 
924 619 141 
250 8 780 
969 986 898 
132 208 629 
88 41 946 
304 22 175 
575 252 925 
666 69 16 
969 436 780 
534 511 92 
553 787 63 
45 36 70 
824 356 56 
74 488 615 
702 927 7 
647 230 29 
174 156 280 
450 173 701 
466 493 136 
597 27 999 
41 579 137 
103 623 524 
172 798 879 
579 871 718 
546 924 644 
552 571 225 
580 96 732 
212 545 904 
912 362 397 
399 959 423 
749 999 353 
885 453 327 
760 976 124 
639 907 347 
356 452 270 
352 3 192 
576 935 287 
308 146 184 
563 409 545 
959 159 855 
733 908 205 
437 144 657 
763 904 985 
239 894 891 
585 601 342 
854 952 344 
46 528 630 
684 187 775 
867 749 535 
764 60 694 
970 792 953 
175 229 96 
183 343 351 
167 581 244 
409 165 845 
750 371 148 
446 768 27 
75 451 213 
202 670 314 
736 433 373 
781 402 516 
733 928 96 
829 463 439 
179 981 371 
775 390 536 
619 139 258 
766 936 25 
145 363 475 
357 564 144 
22 651 928 
394 432 682 
262 164 609 
357 344 423 
147 523 404 
518 297 793 
405 267 283 
662 384 219 
686 528 581 
512 237 496 
8 258 146 
935 4 929 
616 265 445 
577 973 788 
999 120 662 
754 989 310 
546 393 576 
829 406 312 
399 91 191 
331 954 779 
826 961 37 
323 896 392 
604 863 656 
48 791 980 
835 142 99 
849 895 439 
158 793 831 
86 621 236 
749 19 678 
939 701 632 
718 878 944 
106 200 191 
497 155 54 
504 202 196 
483 389 689 
934 237 936 
372 394 728 
203 831 348 
790 579 718 
820 518 770 
803 587 647 
746 692 198 
937 540 353 
342 43 554 
889 877 942 
578 810 530 
513 182 276 
240 736 106 
939 877 685 
8 696 554 
777 850 140 
423 596 183 
620 884 722 
972 577 116 
878 465 992 
171 42 154 
701 906 335 
976 497 422 
433 435 298 
469 794 346 
22 570 195 
513 344 142 
47 964 25 
120 287 953 
235 164 418 
579 335 811 
732 387 717 
418 714 213 
839 146 1000 
488 615 793 
185 636 715 
380 501 58 
873 547 373 
250 19 660 
202 253 175 
619 183 861 
430 266 247 
498 683 960 
62 873 458 
61 713 72 
206 897 59 
272 276 559 
681 501 458 
54 750 476 
65 951 80 
591 570 263 
452 351 880 
50 848 563 
362 909 787 
819 322 499 
890 879 396 
948 150 23 
859 182 523 
668 235 272 
495 651 223 
574 242 144 
188 45 494 
68 94 693 
982 455 953 
768 273 274 
267 514 504 
14 814 5 
36 672 187 
911 691 421 
534 185 424 
756 110 665 
251 298 709 
96 717 154 
788 698 609 
741 817 233 
366 435 747 
222 448 912 
226 836 935 
412 98 625 
185 631 809 
608 387 270 
624 989 567 
684 85 635 
837 224 684 
445 964 501 
30 682 935 
128 903 735 
39 480 922 
973 892 19 
597 428 649 
757 35 387 
26 10 376 
945 693 460 
579 529 35 
615 326 351 
115 355 32 
401 482 286 
135 872 765 
56 844 8 
426 792 435 
75 548 821 
461 925 830 
836 869 874 
647 800 403 
682 414 80 
32 880 434 
415 280 267 
700 767 138 
816 174 333 
824 600 124 
610 674 23 
431 486 947 
612 322 168 
486 320 319 
240 353 84 
319 384 963 
104 150 594 
722 201 712 
211 17 886 
543 192 837 
18 801 862 
40 583 347 
338 547 20 
505 384 692 
175 623 44 
258 293 780 
220 396 929 
166 117 130 
877 327 498 
762 221 41 
950 238 193 
811 277 128 
510 614 674 
529 471 57 
220 645 679 
616 903 971 
395 474 718 
323 639 834 
804 516 512 
653 629 732 
693 579 969 
886 741 597 
13 250 562 
38 131 384 
94 702 29 
124 317 283 
446 711 108 
163 386 747 
348 541 614 
211 194 594 
942 886 172 
262 123 265 
210 487 514 
123 524 996 
507 969 698 
887 92 14 
169 537 77 
628 51 814 
374 750 354 
339 960 547 
933 901 785 
456 514 259 
720 75 746 
586 198 269 
581 704 238 
630 590 681 
644 110 570 
